kingdom	phylum	family	genus	specificepithet	country	stateprovince	county
plantae	magnoliophyta	poaceae	Panicum	laxiflorum	United States	Tennessee	Grundy
animalia	bryozoa	fenestellidae	Fenestella	carinata	United States	Iowa	Floyd County
animalia	arthropoda	carabidae	Cicindela	tenuicincta	United States	California	Inyo
plantae	charophyta	characeae	Chara	sp.	United States	Ohio	Delaware
plantae	bryophyta	pottiaceae	Syntrichia	norvegica	United States	California	Butte
plantae	magnoliophyta	poaceae	Melica	nitens	United States	Arkansas	Howard
fungi	basidiomycota	agaricaceae	Calvatia	cyathiformis	United States	California	Shasta
fungi	ascomycota	cladoniaceae	Cladonia	pleurota	Finland	Tavastia Australis	Lammi
plantae	chlorophyta	ulvaceae	Ulva	flexuosa	Sweden	Skåne	Malmö
plantae	charophyta	poaceae	Setaria	viridis	United States	Vermont	Chittenden
plantae	chlorophyta	cladophoraceae	Cladophora	flexuosa	United States	Maine	York Co.
animalia	porifera	halichondriidae	Halichondria	panicea	United States	Maine	Lincoln County
plantae	magnoliophyta	asteraceae	Kuhnia	eupatorioides	United States	Tennessee	Marshall
fungi	ascomycota	parmeliaceae	Xanthoparmelia	conspersa	United States	Virginia	Highland
plantae	spermatophyta	orchidaceae	Habenaria	lacera	United States	Kentucky	Fleming
animalia	echinodermata	holothuriidae	Holothuria	imitans	French Polynesia	Marquesas Islands	Tahuata Island
plantae	chlorophyta	ulvaceae	Ulva	flexuosa	Sweden	Halland	Träslöv
animalia	mollusca	unionidae	Uniomerus	carolinianus	United States	Georgia	Turner/Ben Hill County
plantae	rhodophyta	ceramiaceae	Scagelia	americana	United States	Connecticut	New Haven Co.
plantae	tracheophyta	asteraceae	Taraxacum	croceum	Norway	Rogaland	Suldal
plantae	bryophyta	sphagnaceae	Sphagnum	recurvum	United States	Alaska	South-Eastern Alaska
plantae	spermatophyta	fabaceae	Afzelia	cassioides	United States	South Carolina	Berkeley
plantae	chlorophyta	ulvaceae	Ulva	lactuca	United States	Washington	Island
plantae	magnoliophyta	asteraceae	Packera	fendleri	United States	Colorado	Weld
plantae	spermatophyta	fabaceae	Cercis	canadensis	United States	Georgia	Johnson
plantae	dicotyledon	asteraceae	Wedelia	paludosa	Brasil	Amazonas	Humaitá
animalia	chordata	cyprinidae	Notropis	rubellus	United States	New York	Oswego
animalia	mollusca	unionidae	Obliquaria	reflexa	United States	Ohio	Hamilton Co.
fungi	ascomycota	physciaceae	Physcia	americana	United States	Iowa	Washington
plantae	magnoliophyta	fabaceae	Calliandra	humilis	United States	Arizona	Coconino
plantae	spermatophyta	asteraceae	Coreopsis	major	United States	South Carolina	Williamsburg
animalia	mollusca	veneridae	Chione	erosa	United States	Florida	Okeechobee County
animalia	annelida	spionidae	Paraprionospio	pinnata	United States	California	Los Angeles County
animalia	arthropoda	formicidae	Myrmecocystus	mimicus	United States	Arizona	Pima
plantae	charophyta	characeae	Nitella	flexilis	Sweden	Vã¤Stergã¶Tland	Gã¶Teborg
plantae	tracheophyta	asteraceae	Artemisia	tridentata	United States	California	Mono
plantae	rhodophyta	corallinaceae	Heterodermia	obscurata	United States	West Virginia	Mcdowell
animalia	arthropoda	carabidae	Bembidion	bruxellense	Norway	Oppland	Gran
animalia	arthropoda	carabidae	Dicheirus	piceus	United States	California	Humboldt County
fungi	chytridiomycota	synchytriaceae	Synchytrium	decipiens	United States	Tennessee	Sevier
fungi	ascomycota	parmeliaceae	Melanelixia	fuliginosa	Sweden	Blekinge	Karlshamn
plantae	tracheophyta	poaceae	Festuca	rubra	United States	Oregon	Marion
plantae	rhodophyta	ceramiaceae	Ceramium	virgatum	Norway	Akershus	Frogn
animalia	cnidaria	acroporidae	Acropora	bushyensis	Mariana Islands	Guam	Guam Island
animalia	arthropoda	carabidae	Nebria	turmaduodecima	United States	California	Siskiyou
animalia	annelida	spionidae	Microspio	microcera	United States	Hawaii	Honolulu County
plantae	magnoliophyta	poaceae	Elymus	virginicus	United States	Texas	Cass
plantae	marchantiophyta	scapaniaceae	Scapania	apiculata	Sweden	Dalsland	Mo
animalia	mollusca	unionidae	Alasmidonta	undulata	United States	Massachusetts	Hampden
animalia	arthropoda	carabidae	Scaphinotus	new species	United States	California	Contra Costa
animalia	arthropoda	formicidae	Formica	pallidefulva	United States	New York	Putnam
plantae	charophyta	characeae	Nitella	furcata	United States	New Hampshire	Strafford Co.
plantae	bryophyta	sphagnaceae	Sphagnum	obtusiusculum	United Kingdom	Wales	Gwynedd
animalia	arthropoda	formicidae	Solenopsis	texana	United States	Texas	Houston
animalia	arthropoda	apidae	Bombus	sp.	India	[Not Stated]	[Not Stated]
plantae	tracheophyta	asteraceae	Ratibida	columnifera	United States	Texas	Presidio
animalia	chordata	plethodontidae	Pseudotriton	ruber	United States	New Jersey	Burlington County
plantae	charophyta	poaceae	Bromus	inermis	United States	Massachusetts	Franklin
plantae	chlorophyta	cladophoraceae	Cladophora	flexuosa	United States	Connecticut	New London County
plantae	magnoliophyta	asteraceae	Krigia	cespitosa	United States	Georgia	Sumter County
plantae	dicotyledon	myrtaceae	Myrcia	bracteata	Brasil	Roraima	Amajarí
plantae	chlorophyta	caulerpaceae	Caulerpa	sertularioides	Puerto Rico	Lajas	Costa
animalia	chordata	cyprinidae	Notropis	ardens	United States	North Carolina	Person County
animalia	brachiopoda	spirigerellidae	Composita	elongata	United States	Missouri	Grundy
plantae	chlorophyta	caulerpaceae	Caulerpa	brachypus	Australia	Queensland	Noosa Shire
plantae	spermatophyta	asteraceae	Coreopsis	pubescens	United States	North Carolina	Ashe
animalia	annelida	nereididae	Alitta	succinea	Mexico	Michoacan De Ocampo	Aquila
plantae	magnoliophyta	asteraceae	Symphyotrichum	ericoides	United States	Missouri	Dallas County
fungi	chytridiomycota	synchytriaceae	Synchytrium	johansonii	Sweden	Oland	Kalmar
animalia	arthropoda	carabidae	Pericompsus	laetulus	United States	Arizona	Cochise
plantae	spermatophyta	fabaceae	Thermopsis	villosa	United States	North Carolina	Swain
animalia	brachiopoda	spiriferidae	Spirifer	niagarensis	United States	New York	Niagara County
plantae	rhodophyta	ceramiaceae	Ceramium	cimbricum	United States	Massachusetts	Norfolk County
fungi	basidiomycota	agaricaceae	Agaricus	sylvaticus	United States	New York	Greene
plantae	rhodophyta	rhodomelaceae	Laurencia	pinnatifida	Morocco	Tanger-Tétouan	Province De Fahs-Anjra
plantae	marchantiophyta	lejeuneaceae	Lejeunea	raddiana	Peru	Loreto	Maynas
animalia	chordata	cricetidae	Peromyscus	maniculatus	United States	Idaho	Blaine
plantae	magnoliophyta	asteraceae	Conyza	canadensis	United States	Mississippi	Clarke
plantae	tracheophyta	fabaceae	Medicago	lupulina	United States	Missouri	Boone County
plantae	magnoliophyta	fabaceae	Swartzia	yatuensis	Brazil	Amazonas	São Paulo De Olivença Mun.
fungi	ascomycota	parmeliaceae	Alectoria	jubata	United States	Michigan	Cheboygan
plantae	tracheophyta	fabaceae	Mimosa	quadrivalvis	United States	Louisiana	Caldwell
plantae	bryophyta	sphagnaceae	Sphagnum	recurvum	United States	Florida	Seminole
plantae	bryophyta	pottiaceae	Pterygoneurum	subsessile	United States	Kansas	Seward
fungi	basidiomycota	polyporaceae	Fomes	igniarius	Canada	Ontario	Parry Sound
plantae	bryophyta	pottiaceae	Globulinella	peruviana	Mexico	Mexico	Amecameca
animalia	mollusca	unionidae	Leptodea	fragilis	United States	Alabama	Jefferson County
plantae	tracheophyta	fabaceae	Lupinus	subvexus	United States	Oregon	Harney
plantae	charophyta	poaceae	Hystrix	patula	United States	New York	Madison
plantae	magnoliophyta	asteraceae	Arnica	cordifolia	United States	Colorado	Gunnison
plantae	charophyta	fabaceae	Trifolium	arvense	United States	Connecticut	New Haven County
animalia	brachiopoda	spiriferidae	Neospirifer	subfasciger	United States	Oklahoma	Carter
animalia	mollusca	muricidae	Favartia	levicula	United States	Florida	Gulf County
animalia	bryozoa	smittinidae	Parasmittina	signata	United States	Georgia	Mcintosh County
plantae	rhodophyta	rhodomelaceae	Womersleyella	pacifica	United States	Hawaii	Honolulu
plantae	charophyta	characeae	Chara	hispida	France	Île-De-France	Val-D'Oise
animalia	annelida	syllidae	Exogone	lourei	United States	California	Alameda County
plantae	dicotyledon	myrtaceae	Eugenia	florida	Peru	Madre De Dios	Manu
plantae	chlorophyta	ulvaceae	Ulva	intestinalis	United States	Nebraska	Kearney County
plantae	marchantiophyta	scapaniaceae	Scapania	scandica	Norway	Trøndelag	Trondheim
plantae	bryophyta	dicranaceae	Campylopus	flexuosus	Norway	Rogaland	Karmøy
plantae	marchantiophyta	scapaniaceae	Diplophyllum	obtusifolium	United States	California	Del Norte County
plantae	magnoliophyta	asteraceae	Microseris	nutans	United States	Oregon	Harney
plantae	charophyta	poaceae	Bromus	racemosus	United States	Maine	Cumberland
plantae	bryophyta	dicranaceae	Leucobryum	albidum	United States	Pennsylvania	Berks
plantae	marchantiophyta	scapaniaceae	Lophozia	ventricosa	Sweden	Torne Lappmark	Jukkasjärvi
animalia	chordata	plethodontidae	Ensatina	eschscholtzii	United States	California	San Luis Obispo County
animalia	mollusca	unionidae	Obliquaria	reflexa	United States	Minnesota	Hennepin
plantae	chlorophyta	ulvaceae	Ulva	clathrata	United States	Puerto Rico	Boca
plantae	dicotyledon	asteraceae	Vernonia	condensata	Brasil	Rondônia	Porto Velho
animalia	annelida	spionidae	Boccardiella	hamata	United States	California	Contra Costa County
animalia	chordata	cyprinidae	Campostoma	anomalum	United States	Arkansas	Montgomery
plantae	dicotyledon	asteraceae	Vernonia	puberula	Brasil	Paraná	Antonina
animalia	arthropoda	apidae	Bombus	huntii	United States	Utah	Washington
