state	municipality	lat	lon
Aguascalientes	Aguascalientes	21.8114	-102.2958
Aguascalientes	Asientos	22.1265	-102.0456
Aguascalientes	Calvillo	21.9007	-102.7049
Aguascalientes	Cosío	22.3606	-102.2970
Aguascalientes	El Llano	21.9215	-102.0354
Aguascalientes	Jesús María	21.9321	-102.4456
Aguascalientes	Pabellón de Arteaga	22.1045	-102.3017
Aguascalientes	Rincón de Romos	22.2674	-102.3407
Aguascalientes	San Francisco de los Romo	22.0331	-102.2290
Aguascalientes	San José de Gracia	22.1466	-102.5258
Aguascalientes	Tepezalá	22.2370	-102.1921
Baja California	Ensenada	30.0409	-114.9514
Baja California	Mexicali	31.7418	-115.1676
Baja California	Playas de Rosarito	32.2529	-116.8907
Baja California	Tecate	32.4408	-116.2690
Baja California	Tijuana	32.4041	-116.8198
Baja California Sur	Comondú	25.5325	-111.8085
Baja California Sur	La Paz	24.1843	-110.6413
Baja California Sur	Loreto	25.9532	-111.4488
Baja California Sur	Los Cabos	23.2766	-109.7533
Baja California Sur	Mulegé	27.2871	-113.2257
Campeche	Calakmul	18.4029	-89.6616
Campeche	Calkiní	20.3826	-90.2168
Campeche	Campeche	19.6169	-90.2675
Campeche	Candelaria	18.0992	-90.7167
Campeche	Carmen	18.4988	-91.4516
Campeche	Champotón	19.1342	-90.4993
Campeche	Escárcega	18.5506	-90.4744
Campeche	Hecelchakán	20.1244	-90.1354
Campeche	Hopelchén	19.4741	-89.6096
Campeche	Palizada	18.2731	-91.9738
Campeche	Tenabo	19.9696	-90.2329
Chiapas	Acacoyagua	15.4141	-92.6817
Chiapas	Acala	16.5378	-92.8409
Chiapas	Acapetahua	15.2337	-92.7723
Chiapas	Aldama	16.9218	-92.6902
Chiapas	Altamirano	16.6619	-91.8626
Chiapas	Amatenango de la Frontera	15.5571	-92.0975
Chiapas	Amatenango del Valle	16.5153	-92.3954
Chiapas	Amatán	17.3856	-92.8573
Chiapas	Angel Albino Corzo	15.7581	-92.6804
Chiapas	Arriaga	16.2488	-93.9374
Chiapas	Bejucal de Ocampo	15.4918	-92.1613
Chiapas	Bella Vista	15.6196	-92.2424
Chiapas	Benemérito de las Américas	16.2816	-90.5633
Chiapas	Berriozábal	16.8667	-93.3191
Chiapas	Bochil	17.0141	-92.9588
Chiapas	Cacahoatán	15.0864	-92.1643
Chiapas	Catazajá	17.7799	-91.9976
Chiapas	Chalchihuitán	17.0213	-92.6118
Chiapas	Chamula	16.8194	-92.6802
Chiapas	Chanal	16.6115	-92.2170
Chiapas	Chapultenango	17.3268	-93.1315
Chiapas	Chenalhó	16.9502	-92.5704
Chiapas	Chiapa de Corzo	16.5981	-92.9706
Chiapas	Chiapilla	16.5540	-92.7259
Chiapas	Chicoasén	16.9953	-93.1115
Chiapas	Chicomuselo	15.7990	-92.3913
Chiapas	Chilón	17.1097	-92.0351
Chiapas	Cintalapa	16.7128	-93.8675
Chiapas	Coapilla	17.1206	-93.1261
Chiapas	Comitán de Domínguez	16.2969	-92.1790
Chiapas	Copainalá	17.0948	-93.2522
Chiapas	El Bosque	17.0317	-92.7413
Chiapas	El Porvenir	15.4325	-92.2639
Chiapas	Escuintla	15.3644	-92.5582
Chiapas	Francisco León	17.2941	-93.2762
Chiapas	Frontera Comalapa	15.7628	-92.0880
Chiapas	Frontera Hidalgo	14.7500	-92.2133
Chiapas	Huehuetán	15.0094	-92.4238
Chiapas	Huitiupán	17.2432	-92.6949
Chiapas	Huixtla	15.0970	-92.5468
Chiapas	Huixtán	16.6943	-92.3996
Chiapas	Ixhuatán	17.2985	-92.9786
Chiapas	Ixtacomitán	17.4214	-93.0990
Chiapas	Ixtapa	16.8180	-92.8970
Chiapas	Ixtapangajoya	17.4669	-92.9756
Chiapas	Jiquipilas	16.5227	-93.6721
Chiapas	Jitotol	17.0896	-92.8744
Chiapas	Juárez	17.6994	-93.1933
Chiapas	La Concordia	15.9609	-92.7712
Chiapas	La Grandeza	15.5130	-92.2184
Chiapas	La Independencia	16.2047	-91.7958
Chiapas	La Libertad	17.6066	-91.7511
Chiapas	La Trinitaria	16.0245	-91.8994
Chiapas	Larráinzar	16.9244	-92.7767
Chiapas	Las Margaritas	16.3856	-91.7403
Chiapas	Las Rosas	16.3653	-92.3647
Chiapas	Mapastepec	15.4611	-92.8914
Chiapas	Maravilla Tenejapa	16.1992	-91.2486
Chiapas	Marqués de Comillas	16.2464	-90.7434
Chiapas	Mazapa de Madero	15.3732	-92.1859
Chiapas	Mazatán	14.8805	-92.4972
Chiapas	Metapa	14.8216	-92.2017
Chiapas	Mitontic	16.8748	-92.5631
Chiapas	Montecristo de Guerrero	15.6717	-92.6644
Chiapas	Motozintla	15.3138	-92.3315
Chiapas	Nicolás Ruíz	16.4382	-92.6101
Chiapas	Ocosingo	16.7019	-91.3380
Chiapas	Ocotepec	17.2208	-93.1739
Chiapas	Ocozocoautla de Espinosa	16.8197	-93.4866
Chiapas	Ostuacán	17.4333	-93.3969
Chiapas	Osumacinta	16.8952	-93.0838
Chiapas	Oxchuc	16.7810	-92.2748
Chiapas	Palenque	17.4441	-91.8127
Chiapas	Pantelhó	17.0601	-92.4641
Chiapas	Pantepec	17.1892	-93.0569
Chiapas	Pichucalco	17.5303	-93.1986
Chiapas	Pijijiapan	15.6701	-93.1917
Chiapas	Pueblo Nuevo Solistahuacán	17.2178	-92.8812
Chiapas	Rayón	17.1922	-92.9966
Chiapas	Reforma	17.8642	-93.2294
Chiapas	Sabanilla	17.3198	-92.6108
Chiapas	Salto de Agua	17.4376	-92.1871
Chiapas	San Andrés Duraznal	17.1540	-92.8031
Chiapas	San Cristóbal de las Casas	16.6783	-92.5899
Chiapas	San Fernando	16.9126	-93.2094
Chiapas	San Juan Cancuc	16.9302	-92.3917
Chiapas	San Lucas	16.6225	-92.7238
Chiapas	Santiago el Pinar	16.9494	-92.7215
Chiapas	Siltepec	15.5473	-92.4562
Chiapas	Simojovel	17.1389	-92.6250
Chiapas	Sitalá	17.0373	-92.3483
Chiapas	Socoltenango	16.1064	-92.3759
Chiapas	Solosuchiapa	17.3870	-93.0048
Chiapas	Soyaló	16.9260	-92.9887
Chiapas	Suchiapa	16.5855	-93.1363
Chiapas	Suchiate	14.6396	-92.2271
Chiapas	Sunuapa	17.4889	-93.2516
Chiapas	Tapachula	14.9344	-92.3047
Chiapas	Tapalapa	17.2201	-93.1123
Chiapas	Tapilula	17.2510	-92.9973
Chiapas	Tecpatán	17.2082	-93.5107
Chiapas	Tenejapa	16.8332	-92.4720
Chiapas	Teopisca	16.5611	-92.5088
Chiapas	Tila	17.3792	-92.4858
Chiapas	Tonalá	15.9908	-93.6538
Chiapas	Totolapa	16.5152	-92.6600
Chiapas	Tumbalá	17.3008	-92.2696
Chiapas	Tuxtla Chico	14.8940	-92.1988
Chiapas	Tuxtla Gutiérrez	16.7394	-93.1373
Chiapas	Tuzantán	15.1404	-92.4116
Chiapas	Tzimol	16.1241	-92.2464
Chiapas	Unión Juárez	15.0597	-92.1043
Chiapas	Venustiano Carranza	16.3173	-92.6079
Chiapas	Villa Comaltitlán	15.1654	-92.6196
Chiapas	Villa Corzo	16.1122	-93.1976
Chiapas	Villaflores	16.3461	-93.3752
Chiapas	Yajalón	17.1856	-92.3258
Chiapas	Zinacantán	16.7219	-92.7820
Chihuahua	Ahumada	30.4492	-106.3807
Chihuahua	Aldama	29.0733	-105.5886
Chihuahua	Allende	27.0949	-105.3055
Chihuahua	Aquiles Serdán	28.5822	-105.8235
Chihuahua	Ascensión	31.3319	-107.5198
Chihuahua	Bachíniva	28.8580	-107.2916
Chihuahua	Balleza	26.7531	-106.5429
Chihuahua	Batopilas	26.9455	-107.6933
Chihuahua	Bocoyna	27.8078	-107.5801
Chihuahua	Buenaventura	30.0581	-107.1214
Chihuahua	Camargo	28.0337	-104.4237
Chihuahua	Carichí	27.8101	-107.0633
Chihuahua	Casas Grandes	30.1939	-108.2023
Chihuahua	Chihuahua	29.0005	-106.2325
Chihuahua	Chínipas	27.4560	-108.5164
Chihuahua	Coronado	26.6339	-105.0700
Chihuahua	Coyame del Sotol	29.7570	-105.2078
Chihuahua	Cuauhtémoc	28.7235	-106.9487
Chihuahua	Cusihuiriachi	28.2116	-106.8969
Chihuahua	Delicias	28.1195	-105.4919
Chihuahua	Dr. Belisario Domínguez	28.0000	-106.4611
Chihuahua	El Tule	27.0451	-106.2974
Chihuahua	Galeana	30.1607	-107.6446
Chihuahua	Gran Morelos	28.2988	-106.5694
Chihuahua	Guachochi	27.1504	-107.2478
Chihuahua	Guadalupe	30.8273	-105.6406
Chihuahua	Guadalupe y Calvo	26.1680	-107.0339
Chihuahua	Guazapares	27.3910	-108.2741
Chihuahua	Guerrero	28.3851	-107.5581
Chihuahua	Gómez Farías	29.3366	-107.7373
Chihuahua	Hidalgo del Parral	27.1290	-105.6970
Chihuahua	Huejotitán	27.0693	-106.0679
Chihuahua	Ignacio Zaragoza	29.7221	-107.7235
Chihuahua	Janos	30.8494	-108.4502
Chihuahua	Jiménez	27.0821	-104.3907
Chihuahua	Julimes	28.5410	-105.0545
Chihuahua	Juárez	31.4496	-106.5642
Chihuahua	La Cruz	27.8977	-105.0449
Chihuahua	López	26.9262	-105.0110
Chihuahua	Madera	29.3269	-108.3293
Chihuahua	Maguarichi	27.8363	-107.9733
Chihuahua	Manuel Benavides	28.9288	-103.8247
Chihuahua	Matachí	28.8241	-107.7206
Chihuahua	Matamoros	26.7251	-105.5229
Chihuahua	Meoqui	28.3506	-105.5015
Chihuahua	Morelos	26.5715	-107.7281
Chihuahua	Moris	28.1527	-108.7373
Chihuahua	Namiquipa	29.2953	-107.1404
Chihuahua	Nonoava	27.4246	-106.6843
Chihuahua	Nuevo Casas Grandes	30.5328	-107.7291
Chihuahua	Ocampo	28.1536	-108.2048
Chihuahua	Ojinaga	29.3636	-104.5254
Chihuahua	Praxedis G. Guerrero	31.2381	-105.9259
Chihuahua	Riva Palacio	28.8063	-106.6170
Chihuahua	Rosales	28.2050	-105.7478
Chihuahua	Rosario	27.2689	-106.3147
Chihuahua	San Francisco de Borja	27.8925	-106.7352
Chihuahua	San Francisco de Conchos	27.5821	-105.3623
Chihuahua	San Francisco del Oro	26.8853	-105.9462
Chihuahua	Santa Bárbara	26.8039	-105.7829
Chihuahua	Santa Isabel	28.3212	-106.3496
Chihuahua	Satevó	27.7786	-106.1931
Chihuahua	Saucillo	28.0011	-105.3430
Chihuahua	Temósachic	28.7148	-108.0848
Chihuahua	Urique	27.2263	-107.9764
Chihuahua	Uruachi	27.8616	-108.5066
Chihuahua	Valle de Zaragoza	27.4871	-105.8083
Coahuila de Zaragoza	Abasolo	27.1224	-101.2458
Coahuila de Zaragoza	Acuña	29.4325	-102.0102
Coahuila de Zaragoza	Allende	28.2783	-100.9160
Coahuila de Zaragoza	Arteaga	25.3414	-100.6424
Coahuila de Zaragoza	Candela	26.8525	-100.7993
