state	county	lat	lon
Alabama	Autauga County	32.5322	-86.6464
Alabama	Baldwin County	30.6592	-87.7461
Alabama	Barbour County	31.8703	-85.4051
Alabama	Bibb County	33.0159	-87.1271
Alabama	Blount County	33.9774	-86.5664
Alabama	Bullock County	32.1018	-85.7173
Alabama	Butler County	31.7517	-86.6820
Alabama	Calhoun County	33.7705	-85.8279
Alabama	Chambers County	32.9155	-85.3940
Alabama	Cherokee County	34.0695	-85.6542
Alabama	Chilton County	32.8541	-86.7266
Alabama	Choctaw County	31.9910	-88.2489
Alabama	Clarke County	31.6855	-87.8186
Alabama	Clay County	33.2704	-85.8635
Alabama	Cleburne County	33.6720	-85.5161
Alabama	Coffee County	31.4023	-85.9896
Alabama	Colbert County	34.7031	-87.8015
Alabama	Conecuh County	31.4309	-86.9887
Alabama	Coosa County	32.9314	-86.2435
Alabama	Covington County	31.2440	-86.4487
Alabama	Crenshaw County	31.7303	-86.3200
Alabama	Cullman County	34.1319	-86.8693
Alabama	Dale County	31.4307	-85.6095
Alabama	Dallas County	32.3335	-87.1144
Alabama	DeKalb County	34.4609	-85.8040
Alabama	Elmore County	32.5972	-86.1427
Alabama	Escambia County	31.1223	-87.1684
Alabama	Etowah County	34.0476	-86.0343
Alabama	Fayette County	33.7162	-87.7643
Alabama	Franklin County	34.4420	-87.8428
Alabama	Geneva County	31.0924	-85.8210
Alabama	Greene County	32.8445	-87.9642
Alabama	Hale County	32.7528	-87.6231
Alabama	Henry County	31.5170	-85.2400
Alabama	Houston County	31.1582	-85.2964
Alabama	Jackson County	34.7641	-85.9801
Alabama	Jefferson County	33.5534	-86.8965
Alabama	Lamar County	33.7871	-88.0874
Alabama	Lauderdale County	34.9042	-87.6511
Alabama	Lawrence County	34.5298	-87.3219
Alabama	Lee County	32.6041	-85.3530
Alabama	Limestone County	34.8102	-86.9814
Alabama	Lowndes County	32.1479	-86.6506
Alabama	Macon County	32.3870	-85.6929
Alabama	Madison County	34.7642	-86.5511
Alabama	Marengo County	32.2476	-87.7911
Alabama	Marion County	34.1382	-87.8816
Alabama	Marshall County	34.3096	-86.3217
Alabama	Mobile County	30.6846	-88.1966
Alabama	Monroe County	31.5803	-87.3833
Alabama	Montgomery County	32.2029	-86.2045
Alabama	Morgan County	34.4545	-86.8464
Alabama	Perry County	32.6390	-87.2938
Alabama	Pickens County	33.2968	-88.0969
Alabama	Pike County	31.7987	-85.9416
Alabama	Randolph County	33.2965	-85.4641
Alabama	Russell County	32.2898	-85.1870
Alabama	Shelby County	33.2669	-86.6610
Alabama	St. Clair County	33.7195	-86.3113
Alabama	Sumter County	32.5975	-88.2001
Alabama	Talladega County	33.3693	-86.1759
Alabama	Tallapoosa County	32.8633	-85.7996
Alabama	Tuscaloosa County	33.2902	-87.5228
Alabama	Walker County	33.7916	-87.3011
Alabama	Washington County	31.4085	-88.2124
Alabama	Wilcox County	31.9901	-87.3049
Alabama	Winston County	34.1546	-87.3653
Arizona	Apache County	35.3851	-109.4902
Arizona	Cochise County	31.8401	-109.7752
Arizona	Coconino County	35.8297	-111.7737
Arizona	Gila County	33.7896	-110.8119
Arizona	Graham County	32.9318	-109.8783
Arizona	Greenlee County	33.2389	-109.2423
Arizona	La Paz County	33.7276	-114.0388
Arizona	Maricopa County	33.3452	-112.4989
Arizona	Mohave County	35.7177	-113.7497
Arizona	Navajo County	35.3908	-110.3210
Arizona	Pima County	32.1280	-111.7837
Arizona	Pinal County	32.9185	-111.3663
Arizona	Santa Cruz County	31.5257	-110.8452
Arizona	Yavapai County	34.6311	-112.5772
Arizona	Yuma County	32.7739	-113.9109
Arkansas	Arkansas County	34.2896	-91.3765
Arkansas	Ashley County	33.1908	-91.7723
Arkansas	Baxter County	36.2803	-92.3299
Arkansas	Benton County	36.3378	-94.2563
Arkansas	Boone County	36.3043	-93.0792
Arkansas	Bradley County	33.4665	-92.1692
Arkansas	Calhoun County	33.5605	-92.5139
Arkansas	Carroll County	36.3374	-93.5410
Arkansas	Chicot County	33.2671	-91.2972
Arkansas	Clark County	34.0533	-93.1762
Arkansas	Clay County	36.3673	-90.4187
Arkansas	Cleburne County	35.5663	-92.0600
Arkansas	Cleveland County	33.8932	-92.1887
Arkansas	Columbia County	33.2230	-93.2328
Arkansas	Conway County	35.2657	-92.6892
Arkansas	Craighead County	35.8277	-90.6314
Arkansas	Crawford County	35.5830	-94.2362
Arkansas	Crittenden County	35.1976	-90.3051
Arkansas	Cross County	35.2857	-90.7640
Arkansas	Dallas County	33.9678	-92.6540
Arkansas	Desha County	33.8288	-91.2441
Arkansas	Drew County	33.5872	-91.7228
Arkansas	Faulkner County	35.1465	-92.3369
Arkansas	Franklin County	35.5086	-93.8877
Arkansas	Fulton County	36.3813	-91.8193
Arkansas	Garland County	34.5789	-93.1469
Arkansas	Grant County	34.2856	-92.4230
Arkansas	Greene County	36.1206	-90.5663
