kingdom	phylum	family	genus	specificepithet	country	stateprovince	county	present	query	response	first token top strings	first token top scores	question number
fungi	basidiomycota	polyporaceae	Polyporus	gilvus	United States	Florida	Sarasota County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes.\n\nPol'	['Yes', 'No', '', '', '']	['35.208', '35.208', '-inf', '-inf', '-inf']	1
fungi	basidiomycota	polyporaceae	Polyporus	gilvus	United States	Florida	Sarasota County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes.'	['Yes', 'No', '', '', '']	['35.833', '33.958', '-inf', '-inf', '-inf']	2
fungi	basidiomycota	polyporaceae	Polyporus	gilvus	United States	Florida	Sarasota County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Polyporus'	['Yes', 'No', '', '', '']	['33.958', '33.333', '-inf', '-inf', '-inf']	3
fungi	basidiomycota	polyporaceae	Polyporus	gilvus	United States	Florida	Sarasota County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, there is no'	['Yes', 'No', '', '', '']	['34.167', '32.292', '-inf', '-inf', '-inf']	4
fungi	basidiomycota	polyporaceae	Polyporus	gilvus	United States	Florida	Sarasota County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nPol'	['No', 'Yes', '', '', '']	['31.667', '31.25', '-inf', '-inf', '-inf']	5
fungi	basidiomycota	polyporaceae	Polyporus	gilvus	United States	Florida	Sarasota County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['Yes', 'No', '', '', '']	['35.833', '33.75', '-inf', '-inf', '-inf']	6
fungi	basidiomycota	polyporaceae	Polyporus	gilvus	United States	Florida	Sarasota County	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Polyporus'	['No', 'Yes', '', '', '']	['35', '33.75', '-inf', '-inf', '-inf']	7
animalia	porifera	microcionidae	Clathria	aculeofila	Mexico	Nayarit	Bahia De Banderas	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes.'	['Yes', '', '', '\x00', '']	['33.958', '-inf', '-inf', '-inf', '-inf']	8
animalia	porifera	microcionidae	Clathria	aculeofila	Mexico	Nayarit	Bahia De Banderas	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Clathria'	['No', 'Yes', '', '', '']	['34.583', '32.5', '-inf', '-inf', '-inf']	9
animalia	porifera	microcionidae	Clathria	aculeofila	Mexico	Nayarit	Bahia De Banderas	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['Yes', 'No', '', '', '']	['33.75', '32.917', '-inf', '-inf', '-inf']	10
animalia	porifera	microcionidae	Clathria	aculeofila	Mexico	Nayarit	Bahia De Banderas	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['Yes', 'No', '', '', '']	['32.917', '31.458', '-inf', '-inf', '-inf']	11
animalia	porifera	microcionidae	Clathria	aculeofila	Mexico	Nayarit	Bahia De Banderas	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No, Bahia De'	['No', '', '', '\x00', '']	['33.333', '-inf', '-inf', '-inf', '-inf']	12
animalia	porifera	microcionidae	Clathria	aculeofila	Mexico	Nayarit	Bahia De Banderas	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', 'Yes', '', '', '']	['33.125', '31.667', '-inf', '-inf', '-inf']	13
animalia	porifera	microcionidae	Clathria	aculeofila	Mexico	Nayarit	Bahia De Banderas	Yes	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No. Clathria'	['No', 'Yes', '', '', '']	['33.75', '31.875', '-inf', '-inf', '-inf']	14
fungi	ascomycota	parmeliaceae	Parmelina	pastillifera	Norway	Innlandet	Lom	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes'	['No', 'Yes', '', '', '']	['32.917', '31.667', '-inf', '-inf', '-inf']	15
fungi	ascomycota	parmeliaceae	Parmelina	pastillifera	Norway	Innlandet	Lom	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.\n\nSpe'	['No', 'Yes', '', '', '']	['33.333', '31.875', '-inf', '-inf', '-inf']	16
fungi	ascomycota	parmeliaceae	Parmelina	pastillifera	Norway	Innlandet	Lom	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'Yes.'	['Yes', 'No', '', '', '']	['33.125', '32.917', '-inf', '-inf', '-inf']	17
fungi	ascomycota	parmeliaceae	Parmelina	pastillifera	Norway	Innlandet	Lom	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.'	['No', 'Yes', '', '', '']	['31.25', '29.375', '-inf', '-inf', '-inf']	18
fungi	ascomycota	parmeliaceae	Parmelina	pastillifera	Norway	Innlandet	Lom	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No.'	['No', '', '', '\x00', '']	['31.875', '-inf', '-inf', '-inf', '-inf']	19
fungi	ascomycota	parmeliaceae	Parmelina	pastillifera	Norway	Innlandet	Lom	No	'Is there a presence of species Scutellospora calospora within Washington, Alabama, United States? Only respond yes or no.'	'No'	['No', '', '', '\x00', '']	['32.708', '-inf', '-inf', '-inf', '-inf']	20
