kingdom	phylum	family	genus	specificepithet	country	stateprovince	county
animalia	annelida	nereididae	Nereis	vexillosa	United States	California	Marin County
animalia	annelida	nereididae	Nereis	eakini	United States	California	San Mateo County
animalia	annelida	nereididae	Platynereis	bicanaliculata	United States	California	Marin County
animalia	annelida	nereididae	Ceratonereis	irritabilis	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Nereis	succinea	United States	Connecticut	New Haven County
animalia	annelida	nereididae	Nereis	virens	Mexico	Yucatan	Celestun
animalia	annelida	nereididae	Ceratonereis	longicirrata	Mexico	Yucatan	Celestun
animalia	annelida	nereididae	Gymnonereis	crosslandi	United States	California	Santa Barbara County
animalia	annelida	nereididae	Nereis	succinea	United States	California	Alameda County
animalia	annelida	nereididae	Nereis	vexillosa	United States	Washington	San Juan County
animalia	annelida	nereididae	Platynereis	dumerilii	Mexico	Tamaulipas	Soto La Marina
animalia	annelida	nereididae	Nereis	diversicolor	United States	New Hampshire	Strafford County
animalia	annelida	nereididae	Nereis	sp. 5	Mexico	Baja California	Ensenada
animalia	annelida	nereididae	Neanthes	arenaceodentata	United States	Massachusetts	Dukes County
animalia	annelida	nereididae	Cheilonereis	cyclurus	United States	Oregon	Coos County
animalia	annelida	nereididae	Neanthes	acuminata	United States	California	Los Angeles County
animalia	annelida	nereididae	Nereis	acuminata	United States	Florida	Monroe
animalia	annelida	nereididae	Nereis	pelagica	Mexico	Baja California Sur	Mulege
animalia	annelida	nereididae	Nereis	succinea	United States	California	Contra Costa County
animalia	annelida	nereididae	Nereis	succinea	United States	California	Solano County
animalia	annelida	nereididae	Nereis	grubei	United States	California	Monterey County
animalia	annelida	nereididae	Neanthes	trifasciata	Brasil	Bahia	Nova Viçosa
animalia	annelida	nereididae	Alitta	succinea	United States	Florida	Levy County
animalia	annelida	nereididae	Nereis	virens	Mexico	Campeche	Calkini
animalia	annelida	nereididae	Nereis	vexillosa	United States	California	San Francisco County
animalia	annelida	nereididae	Alitta	virens	United States	Massachusetts	Barnstable County
animalia	annelida	nereididae	Nereis	eakini	United States	California	Marin County
animalia	annelida	nereididae	Nereis	pelagica	United States	Massachusetts	Barnstable County
animalia	annelida	nereididae	Neanthes	unifasciata	Brasil	Espírito Santo	Anchieta
animalia	annelida	nereididae	Nereis	pelagica	United States	Massachusetts	Barnstable
animalia	annelida	nereididae	[nereididae]	fl02	United States	Florida	Levy County
animalia	annelida	nereididae	Nereis	succinea	United States	California	San Mateo County
animalia	annelida	nereididae	Nereis	succinea	United States	California	Napa County
animalia	annelida	nereididae	Nereis	imajimai	Mexico	Baja California	Ensenada
animalia	annelida	nereididae	Pseudonereis	gallapagensis	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Ceratonereis	irritabilis	United States	Florida	Hillsborough County
animalia	annelida	nereididae	Ceratonereis	singularis	Japan	Okinawa Prefecture	Kunigami District
animalia	annelida	nereididae	Nereis	succinea	United States	California	Santa Clara County
animalia	annelida	nereididae	Pseudonereis	gallapagensis	Mexico	Tamaulipas	Soto La Marina
animalia	annelida	nereididae	Perinereis	ponteni	Brasil	Bahia	Caravelas
animalia	annelida	nereididae	Nereis	falsa	Mexico	Tamaulipas	Soto La Marina
animalia	annelida	nereididae	Nereis	vexillosa	United States	California	Alameda County
animalia	annelida	nereididae	Nereis	virens	United States	Massachusetts	Barnstable County
animalia	annelida	nereididae	Platynereis	mucronata	Mexico	Tamaulipas	San Fernando
animalia	annelida	nereididae	Neanthes	arenaceodentata	United States	Connecticut	New Haven County
animalia	annelida	nereididae	Alitta	sp. 3	United States	Virginia	Northampton County
animalia	annelida	nereididae	Nereis	natans	United States	California	San Mateo County
animalia	annelida	nereididae	Neanthes	virens	United States	California	Contra Costa County
animalia	annelida	nereididae	Nereis	pelagica	United States	California	Santa Barbara County
animalia	annelida	nereididae	Nereis	succinea	United States	California	Marin County
animalia	annelida	nereididae	Laeonereis	culveri	Mexico	Nayarit	Tecuala
animalia	annelida	nereididae	Nereis	succinea	United States	Maryland	Worcester County
animalia	annelida	nereididae	Neanthes	virens	United States	Massachusetts	Suffolk
animalia	annelida	nereididae	Platynereis	dumerilii	Mexico	Baja California Sur	Comondu
animalia	annelida	nereididae	Laeonereis	culveri	Mexico	Veracruz De Ignacio De La Llave	Ozuluama De Mascareñas
animalia	annelida	nereididae	Nereis	riisei	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Nereis	pelagica	Mexico	Guerrero	La Union De Isidoro Montes De Oca
animalia	annelida	nereididae	Ceratonereis	tentaculata	United States	Hawaii	Honolulu
animalia	annelida	nereididae	Nereis	succinea	United States	California	Sonoma County
animalia	annelida	nereididae	Nereis	vexillosa	United States	California	Contra Costa County
animalia	annelida	nereididae	Neanthes	acuminata	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Simplisetia	aequisetis	Australia	Victoria	Gippsland
animalia	annelida	nereididae	Nereis	succinea	United States	California	San Francisco County
animalia	annelida	nereididae	Perinereis	cultrifera	Mexico	Baja California Sur	La Paz
animalia	annelida	nereididae	Alitta	succinea	United States	Massachusetts	Plymouth
animalia	annelida	nereididae	Nereis	procera	United States	California	Los Angeles County
animalia	annelida	nereididae	Nereis	pelagica	United States	Maine	Washington County
animalia	annelida	nereididae	Nereis	procera	United States	Washington	Whatcom County
animalia	annelida	nereididae	Nereis	grubei	United States	California	Los Angeles County
animalia	annelida	nereididae	Platynereis	dumerilii	United States	Florida	Escambia
animalia	annelida	nereididae	Platynereis	bicanaliculata	Mexico	Baja California Sur	Mulege
animalia	annelida	nereididae	Alitta	plenidentata	United States	California	Marin County
animalia	annelida	nereididae	Alitta	succinea	Mexico	Veracruz De Ignacio De La Llave	Tamiahua
animalia	annelida	nereididae	Platynereis	dumerilii	United States	Massachusetts	Barnstable County
animalia	annelida	nereididae	Platynereis	bicanaliculata	United States	Washington	Kitsap County
animalia	annelida	nereididae	Ceratonereis	singularis	Mexico	Baja California Sur	La Paz
animalia	annelida	nereididae	Nereis	acuminata	United States	Florida	Manatee County
animalia	annelida	nereididae	Nereis	succinea	United States	Virginia	Northampton County
animalia	annelida	nereididae	Platynereis	dumerilii	United States	Hawaii	Honolulu
animalia	annelida	nereididae	Laeonereis	culveri	United States	Florida	Escambia
animalia	annelida	nereididae	Nereis	megalops	United States	Massachusetts	Barnstable County
animalia	annelida	nereididae	Nereis	vexillosa	United States	California	San Mateo County
animalia	annelida	nereididae	Nereis	vexillosa	United States	Oregon	Tillamook County
animalia	annelida	nereididae	Alitta	plenidentata	United States	California	San Mateo County
animalia	annelida	nereididae	Platynereis	dumerilii	United States	Virginia	Northampton County
animalia	annelida	nereididae	Nereis	virens	United States	Massachusetts	Essex County
animalia	annelida	nereididae	Perinereis	elenacasoi	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Ceratonereis	irritabilis	United States	Virginia	Accomack County
animalia	annelida	nereididae	Neanthes	sp.	Brasil	Bahia	Caravelas
animalia	annelida	nereididae	Nereis	procera	United States	California	Santa Barbara County
animalia	annelida	nereididae	Laeonereis	culveri	United States	Florida	Brevard County
animalia	annelida	nereididae	Platynereis	sp.	Brasil	Rio De Janeiro	Búzios
animalia	annelida	nereididae	Alitta	virens	United States	Massachusetts	Nantucket County
animalia	annelida	nereididae	Alitta	succinea	United States	Florida	Manatee County
animalia	annelida	nereididae	Nereis	pelagica	United States	Florida	Levy County
animalia	annelida	nereididae	Platynereis	mucronata	Mexico	Tamaulipas	Soto La Marina
animalia	annelida	nereididae	Platynereis	bicanaliculata	United States	California	San Luis Obispo County
animalia	annelida	nereididae	Neanthes	arenaceodentata	United States	California	Los Angeles County
animalia	annelida	nereididae	Nereis	succinea	United States	Massachusetts	Barnstable County
animalia	annelida	nereididae	Nereis	vexillosa	United States	Washington	Skagit County
animalia	annelida	nereididae	Neanthes	unifasciata	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Pseudonereis	gallapagensis	Mexico	Veracruz De Ignacio De La Llave	Alto Lucero De Gutierrez Barrios
animalia	annelida	nereididae	Nereis	acuminata	United States	Florida	St. Lucie County
animalia	annelida	nereididae	Perinereis	elenacasoi	Mexico	Veracruz De Ignacio De La Llave	Cazones De Herrera
animalia	annelida	nereididae	Perinereis	suluana	Philippines	Oriental Mindoro Province	Puerto Galera Municipality [= Puerto Galera]
animalia	annelida	nereididae	Hediste	diversicolor	United States	Massachusetts	Suffolk
animalia	annelida	nereididae	Platynereis	dumerilii	Mexico	Tamaulipas	Aldama
animalia	annelida	nereididae	Laeonereis	culveri	North Atlantic Ocean	Gulf Of Mexico	Tampa Bay
animalia	annelida	nereididae	Nereis	acuminata	United States	Florida	Pinellas County
animalia	annelida	nereididae	Nereis	latescens	United States	California	Ventura County
animalia	annelida	nereididae	Platynereis	mucronata	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Nereis	falsa	Mexico	Veracruz De Ignacio De La Llave	Veracruz
animalia	annelida	nereididae	Alitta	succinea	United States	Maryland	Anne Arundel County
animalia	annelida	nereididae	Hediste	limnicola	United States	California	Contra Costa County
animalia	annelida	nereididae	Nereis	megalops	United States	Rhode Island	Newport County
animalia	annelida	nereididae	Ceratocephale	papillata	Mexico	Baja California Sur	Comondu
animalia	annelida	nereididae	Alitta	virens	United States	Connecticut	New Haven County
animalia	annelida	nereididae	Nereis	succinea	United States	Maryland	Charles County
animalia	annelida	nereididae	Nereis	pelagica	United States	Massachusetts	Essex County
animalia	annelida	nereididae	Alitta	succinea	United States	Massachusetts	Bristol
animalia	annelida	nereididae	Neanthes	virens	United States	California	San Mateo County
animalia	annelida	nereididae	Nereis	riisei	United States	Florida	Monroe County
animalia	annelida	nereididae	Laeonereis	culveri	Mexico	Nayarit	Rosamorada
animalia	annelida	nereididae	Alitta	succinea	Mexico	Tamaulipas	Altamira
animalia	annelida	nereididae	Nereis	acuminata	United States	Florida	Citrus County
animalia	annelida	nereididae	Platynereis	bicanaliculata	United States	California	Contra Costa County
animalia	annelida	nereididae	Ceratocephale	hartmanae	United States	California	San Luis Obispo County
animalia	annelida	nereididae	Nereis	vexillosa	United States	California	Monterey County
animalia	annelida	nereididae	Nereis	pelagica	Mexico	Campeche	Calkini
animalia	annelida	nereididae	Alitta	brandti	United States	California	San Francisco County
animalia	annelida	nereididae	Platynereis	bicanaliculata	United States	California	Los Angeles County
animalia	annelida	nereididae	Alitta	succinea	United States	Florida	Pinellas County
animalia	annelida	nereididae	Nereis	micromma	United States	Florida	Hillsborough County
animalia	annelida	nereididae	Nereis	latescens	United States	California	Alameda County
animalia	annelida	nereididae	Nereis	vexillosa	United States	California	Sonoma County
animalia	annelida	nereididae	Platynereis	dumerilii	Mexico	Tamaulipas	San Fernando
animalia	annelida	nereididae	Perinereis	elenacasoi	Mexico	Veracruz De Ignacio De La Llave	Alto Lucero De Gutierrez Barrios
animalia	annelida	nereididae	Nereis	pelagica	United States	Rhode Island	Washington County
animalia	annelida	nereididae	Alitta	succinea	United States	Connecticut	New Haven County
animalia	annelida	nereididae	Alitta	succinea	Mexico	Tamaulipas	Soto La Marina
animalia	annelida	nereididae	Nereis	latescens	United States	California	Marin County
animalia	annelida	nereididae	Neanthes	unifasciata	Mexico	Baja California Sur	La Paz
animalia	annelida	nereididae	Alitta	succinea	Mexico	Sinaloa	Mazatlan
animalia	annelida	nereididae	Platynereis	dumerilii	Mexico	Tamaulipas	Matamoros
animalia	annelida	nereididae	Nereis	eakini	United States	California	San Francisco County
animalia	annelida	nereididae	Neanthes	virens	United States	Massachusetts	Essex
animalia	annelida	nereididae	Nereis	pelagica	United States	Maine	York County
animalia	annelida	nereididae	Nereis	procera	United States	Washington	Jefferson County
animalia	annelida	nereididae	Ceratonereis	singularis	Mexico	Baja California Sur	Mulege
animalia	annelida	nereididae	Nereis	vexillosa	United States	Washington	Whatcom County
